Division,Team,Year,Coach,Win,Loss,Tie,Pct.,Points Scored,Points Allowed,Delta
East,Indiana,1950,Clyde B. Smith,3,5,1,0.38889,99,155,-56
East,Indiana,1951,Clyde B. Smith,2,7,0,0.22222,118,191,-73
East,Indiana,1952,Bernie A. Crimmins,2,7,0,0.22222,143,224,-81
East,Indiana,1953,Bernie A. Crimmins,2,7,0,0.22222,119,227,-108
East,Indiana,1954,Bernie A. Crimmins,3,6,0,0.33333,110,143,-33
East,Indiana,1955,Bernie A. Crimmins,3,6,0,0.33333,91,150,-59
East,Indiana,1956,Bernie A. Crimmins,3,6,0,0.33333,129,263,-134
East,Indiana,1957,Bob Hicks,1,8,0,0.11111,47,307,-260
East,Indiana,1958,Phil Dickens,5,3,1,0.61111,81,141,-60
East,Indiana,1959,Phil Dickens,4,4,1,0.5,142,105,37
East,Indiana,1960,Phil Dickens,1,8,0,0.11111,69,243,-174
East,Indiana,1961,Phil Dickens,2,7,0,0.22222,96,162,-66
East,Indiana,1962,Phil Dickens,3,6,0,0.33333,126,140,-14
East,Indiana,1963,Phil Dickens,3,6,0,0.33333,151,188,-37
East,Indiana,1964,Phil Dickens,2,7,0,0.22222,154,188,-34
East,Indiana,1965,John Pont,2,8,0,0.2,134,225,-91
East,Indiana,1966,John Pont,1,8,1,0.15,104,229,-125
East,Indiana,1967,John Pont,9,2,0,0.81818,197,159,38
East,Indiana,1968,John Pont,6,4,0,0.6,250,262,-12
East,Indiana,1969,John Pont,4,6,0,0.4,252,242,10
East,Indiana,1970,John Pont,1,9,0,0.1,102,300,-198
East,Indiana,1971,John Pont,3,8,0,0.27273,152,260,-108
East,Indiana,1972,John Pont,5,6,0,0.45455,204,272,-68
East,Indiana,1973,Lee Corso,2,9,0,0.18182,151,271,-120
East,Indiana,1974,Lee Corso,1,10,0,0.09091,166,292,-126
East,Indiana,1975,Lee Corso,2,8,1,0.22727,104,254,-150
East,Indiana,1976,Lee Corso,5,6,0,0.45455,130,254,-124
East,Indiana,1977,Lee Corso,5,5,1,0.5,205,228,-23
East,Indiana,1978,Lee Corso,4,7,0,0.36364,228,290,-62
East,Indiana,1979,Lee Corso,8,4,0,0.66667,314,252,62
East,Indiana,1980,Lee Corso,6,5,0,0.54545,255,235,20
East,Indiana,1981,Lee Corso,3,8,0,0.27273,144,293,-149
East,Indiana,1982,Lee Corso,5,6,0,0.45455,203,250,-47
East,Indiana,1983,Sam Wyche,3,8,0,0.27273,201,360,-159
East,Indiana,1984,Bill Mallory,0,11,0,0,185,338,-153
East,Indiana,1985,Bill Mallory,4,7,0,0.36364,251,340,-89
East,Indiana,1986,Bill Mallory,6,6,0,0.5,273,227,46
East,Indiana,1987,Bill Mallory,8,4,0,0.66667,283,238,45
East,Indiana,1988,Bill Mallory,8,3,1,0.70833,396,235,161
East,Indiana,1989,Bill Mallory,5,6,0,0.45455,289,262,27
East,Indiana,1990,Bill Mallory,6,5,1,0.54167,329,238,91
East,Indiana,1991,Bill Mallory,7,4,1,0.625,305,224,81
East,Indiana,1992,Bill Mallory,5,6,0,0.45455,177,197,-20
East,Indiana,1993,Bill Mallory,8,4,0,0.66667,259,197,62
East,Indiana,1994,Bill Mallory,7,4,0,0.63636,294,285,9
East,Indiana,1995,Bill Mallory,2,9,0,0.18182,159,326,-167
East,Indiana,1996,Bill Mallory,3,8,0,0.27273,242,291,-49
East,Indiana,1997,Cam Cameron,2,9,0,0.18182,120,359,-239
East,Indiana,1998,Cam Cameron,4,7,0,0.36364,245,305,-60
East,Indiana,1999,Cam Cameron,4,7,0,0.36364,291,386,-95
East,Indiana,2000,Cam Cameron,3,8,0,0.27273,337,427,-90
East,Indiana,2001,Cam Cameron,5,6,0,0.45455,305,298,7
East,Indiana,2002,Gerry DiNardo,3,9,0,0.25,258,445,-187
East,Indiana,2003,Gerry DiNardo,2,10,0,0.16667,177,388,-211
East,Indiana,2004,Gerry DiNardo,3,8,0,0.27273,262,343,-81
East,Indiana,2005,Terry Hoeppner,4,7,0,0.36364,248,361,-113
East,Indiana,2006,Terry Hoeppner,5,7,0,0.41667,277,394,-117
East,Indiana,2007,Bill Lynch,7,6,0,0.53846,412,370,42
East,Indiana,2008,Bill Lynch,3,9,0,0.25,246,423,-177
East,Indiana,2009,Bill Lynch,4,8,0,0.33333,282,354,-72
East,Indiana,2010,Bill Lynch,5,7,0,0.41667,326,408,-82
East,Indiana,2011,Kevin Wilson,1,11,0,0.08333,257,448,-191
East,Indiana,2012,Kevin Wilson,4,8,0,0.33333,369,423,-54
East,Indiana,2013,Kevin Wilson,5,7,0,0.41667,461,466,-5
East,Indiana,2014,Kevin Wilson,4,8,0,0.33333,301,394,-93
East,Maryland,1950,"James M. ""Jim"" Tatum",7,2,1,0.75,274,120,154
East,Maryland,1951,"James M. ""Jim"" Tatum",10,0,0,1,381,75,306
East,Maryland,1952,"James M. ""Jim"" Tatum",7,2,0,0.77778,218,85,133
East,Maryland,1953,"James M. ""Jim"" Tatum",10,1,0,0.90909,298,38,260
East,Maryland,1954,"James M. ""Jim"" Tatum",7,2,1,0.75,280,67,213
East,Maryland,1955,"James M. ""Jim"" Tatum",10,1,0,0.90909,217,77,140
East,Maryland,1956,"Thomas A. ""Tommy"" Mont",3,6,1,0.35,68,168,-100
East,Maryland,1957,"Thomas A. ""Tommy"" Mont",5,5,0,0.5,119,144,-25
East,Maryland,1958,"Thomas A. ""Tommy"" Mont",4,6,0,0.4,132,175,-43
East,Maryland,1959,"Thomas N. ""Tom"" Nugent",5,5,0,0.5,184,188,-4
East,Maryland,1960,"Thomas N. ""Tom"" Nugent",6,4,0,0.6,171,164,7
East,Maryland,1961,"Thomas N. ""Tom"" Nugent",7,3,0,0.7,156,141,15
East,Maryland,1962,"Thomas N. ""Tom"" Nugent",6,4,0,0.6,170,128,42
East,Maryland,1963,"Thomas N. ""Tom"" Nugent",3,7,0,0.3,148,201,-53
East,Maryland,1964,"Thomas N. ""Tom"" Nugent",5,5,0,0.5,164,126,38
East,Maryland,1965,"Thomas N. ""Tom"" Nugent",4,6,0,0.4,132,164,-32
East,Maryland,1966,"Louis Henry ""Lou"" Saban",4,6,0,0.4,180,204,-24
East,Maryland,1967,Bob Ward,0,9,0,0,46,231,-185
East,Maryland,1968,Bob Ward,2,8,0,0.2,171,299,-128
East,Maryland,1969,Roy Lester,3,7,0,0.3,100,249,-149
East,Maryland,1970,Roy Lester,2,9,0,0.18182,112,241,-129
East,Maryland,1971,Roy Lester,2,9,0,0.18182,224,283,-59
East,Maryland,1972,Jerry Claiborne,5,5,1,0.5,243,217,26
East,Maryland,1973,Jerry Claiborne,8,4,0,0.66667,335,141,194
East,Maryland,1974,Jerry Claiborne,8,4,0,0.66667,316,104,212
East,Maryland,1975,Jerry Claiborne,9,2,1,0.79167,312,150,162
East,Maryland,1976,Jerry Claiborne,11,1,0,0.91667,294,115,179
East,Maryland,1977,Jerry Claiborne,8,4,0,0.66667,254,179,75
East,Maryland,1978,Jerry Claiborne,9,3,0,0.75,261,167,94
East,Maryland,1979,Jerry Claiborne,7,4,0,0.63636,198,135,63
East,Maryland,1980,Jerry Claiborne,8,4,0,0.66667,211,165,46
East,Maryland,1981,Jerry Claiborne,4,6,1,0.40909,232,194,38
East,Maryland,1982,Bobby Ross,8,4,0,0.66667,373,220,153
East,Maryland,1983,Bobby Ross,8,4,0,0.66667,316,253,63
East,Maryland,1984,Bobby Ross,9,3,0,0.75,380,280,100
East,Maryland,1985,Bobby Ross,9,3,0,0.75,326,192,134
East,Maryland,1986,Bobby Ross,5,5,1,0.5,262,211,51
East,Maryland,1987,Joe Krivak,4,7,0,0.36364,194,301,-107
East,Maryland,1988,Joe Krivak,5,6,0,0.45455,260,304,-44
East,Maryland,1989,Joe Krivak,3,7,1,0.31818,215,238,-23
East,Maryland,1990,Joe Krivak,6,5,1,0.54167,237,284,-47
East,Maryland,1991,Joe Krivak,2,9,0,0.18182,138,302,-164
East,Maryland,1992,Mark Duffner,3,8,0,0.27273,292,365,-73
East,Maryland,1993,Mark Duffner,2,9,0,0.18182,243,479,-236
East,Maryland,1994,Mark Duffner,4,7,0,0.36364,270,326,-56
East,Maryland,1995,Mark Duffner,6,5,0,0.54545,210,251,-41
East,Maryland,1996,Mark Duffner,5,6,0,0.45455,187,239,-52
East,Maryland,1997,Ron Vanderlinden,2,9,0,0.18182,161,355,-194
East,Maryland,1998,Ron Vanderlinden,3,8,0,0.27273,202,290,-88
East,Maryland,1999,Ron Vanderlinden,5,6,0,0.45455,292,260,32
East,Maryland,2000,Ron Vanderlinden,5,6,0,0.45455,247,284,-37
East,Maryland,2001,Ralph Friedgen,10,2,0,0.83333,413,266,147
East,Maryland,2002,Ralph Friedgen,11,3,0,0.78571,451,228,223
East,Maryland,2003,Ralph Friedgen,10,3,0,0.76923,406,206,200
East,Maryland,2004,Ralph Friedgen,5,6,0,0.45455,195,220,-25
East,Maryland,2005,Ralph Friedgen,5,6,0,0.45455,270,275,-5
East,Maryland,2006,Ralph Friedgen,9,4,0,0.69231,284,284,0
East,Maryland,2007,Ralph Friedgen,6,7,0,0.46154,313,280,33
East,Maryland,2008,Ralph Friedgen,8,5,0,0.61538,283,292,-9
East,Maryland,2009,Ralph Friedgen,2,10,0,0.16667,256,375,-119
East,Maryland,2010,Ralph Friedgen,9,4,0,0.69231,419,288,131
East,Maryland,2011,Randy Edsall,2,10,0,0.16667,277,411,-134
East,Maryland,2012,Randy Edsall,4,8,0,0.33333,241,326,-85
East,Maryland,2013,Randy Edsall,7,6,0,0.53846,340,329,11
East,Maryland,2014,Randy Edsall,7,6,0,0.53846,370,392,-22
East,Michigan,1950,Bennie G. Oosterbaan,6,3,1,0.65,150,114,36
East,Michigan,1951,Bennie G. Oosterbaan,4,5,0,0.44444,135,122,13
East,Michigan,1952,Bennie G. Oosterbaan,5,4,0,0.55556,207,134,73
East,Michigan,1953,Bennie G. Oosterbaan,6,3,0,0.66667,163,101,62
East,Michigan,1954,Bennie G. Oosterbaan,6,3,0,0.66667,139,87,52
East,Michigan,1955,Bennie G. Oosterbaan,7,2,0,0.77778,179,94,85
East,Michigan,1956,Bennie G. Oosterbaan,7,2,0,0.77778,233,123,110
East,Michigan,1957,Bennie G. Oosterbaan,5,3,1,0.61111,187,147,40
East,Michigan,1958,Bennie G. Oosterbaan,2,6,1,0.27778,132,211,-79
East,Michigan,1959,"Chalmers ""Bump"" Elliott",4,5,0,0.44444,122,161,-39
East,Michigan,1960,"Chalmers ""Bump"" Elliott",5,4,0,0.55556,133,84,49
East,Michigan,1961,"Chalmers ""Bump"" Elliott",6,3,0,0.66667,212,163,49
East,Michigan,1962,"Chalmers ""Bump"" Elliott",2,7,0,0.22222,70,214,-144
East,Michigan,1963,"Chalmers ""Bump"" Elliott",3,4,2,0.44444,131,127,4
East,Michigan,1964,"Chalmers ""Bump"" Elliott",9,1,0,0.9,235,83,152
East,Michigan,1965,"Chalmers ""Bump"" Elliott",4,6,0,0.4,185,161,24
East,Michigan,1966,"Chalmers ""Bump"" Elliott",6,4,0,0.6,236,138,98
East,Michigan,1967,"Chalmers ""Bump"" Elliott",4,6,0,0.4,144,179,-35
East,Michigan,1968,"Chalmers ""Bump"" Elliott",8,2,0,0.8,277,155,122
East,Michigan,1969,"Glenn ""Bo"" Schembechler",8,3,0,0.72727,352,148,204
East,Michigan,1970,"Glenn ""Bo"" Schembechler",9,1,0,0.9,288,90,198
East,Michigan,1971,"Glenn ""Bo"" Schembechler",11,1,0,0.91667,421,83,338
East,Michigan,1972,"Glenn ""Bo"" Schembechler",10,1,0,0.90909,264,57,207
East,Michigan,1973,"Glenn ""Bo"" Schembechler",10,0,1,0.95455,330,68,262
East,Michigan,1974,"Glenn ""Bo"" Schembechler",10,1,0,0.90909,324,75,249
East,Michigan,1975,"Glenn ""Bo"" Schembechler",8,2,2,0.75,324,130,194
East,Michigan,1976,"Glenn ""Bo"" Schembechler",10,2,0,0.83333,432,95,337
East,Michigan,1977,"Glenn ""Bo"" Schembechler",10,2,0,0.83333,353,124,229
East,Michigan,1978,"Glenn ""Bo"" Schembechler",10,2,0,0.83333,372,105,267
East,Michigan,1979,"Glenn ""Bo"" Schembechler",8,4,0,0.66667,312,151,161
East,Michigan,1980,"Glenn ""Bo"" Schembechler",10,2,0,0.83333,322,129,193
East,Michigan,1981,"Glenn ""Bo"" Schembechler",9,3,0,0.75,355,162,193
East,Michigan,1982,"Glenn ""Bo"" Schembechler",8,4,0,0.66667,345,204,141
East,Michigan,1983,"Glenn ""Bo"" Schembechler",9,3,0,0.75,355,160,195
East,Michigan,1984,"Glenn ""Bo"" Schembechler",6,6,0,0.5,214,200,14
East,Michigan,1985,"Glenn ""Bo"" Schembechler",10,1,1,0.875,342,98,244
East,Michigan,1986,"Glenn ""Bo"" Schembechler",11,2,0,0.84615,379,203,176
East,Michigan,1987,"Glenn ""Bo"" Schembechler",8,4,0,0.66667,331,172,159
East,Michigan,1988,"Glenn ""Bo"" Schembechler",9,2,1,0.79167,361,167,194
East,Michigan,1989,"Glenn ""Bo"" Schembechler",10,2,0,0.83333,335,184,151
East,Michigan,1990,Gary O. Moeller,9,3,0,0.75,389,198,191
East,Michigan,1991,Gary O. Moeller,10,2,0,0.83333,420,203,217
East,Michigan,1992,Gary O. Moeller,9,0,3,0.875,431,171,260
East,Michigan,1993,Gary O. Moeller,8,4,0,0.66667,342,160,182
East,Michigan,1994,Gary O. Moeller,8,4,0,0.66667,330,268,62
East,Michigan,1995,Lloyd Carr,9,4,0,0.69231,338,223,115
East,Michigan,1996,Lloyd Carr,8,4,0,0.66667,277,184,93
East,Michigan,1997,Lloyd Carr,12,0,0,1,322,114,208
East,Michigan,1998,Lloyd Carr,10,3,0,0.76923,359,235,124
East,Michigan,1999,Lloyd Carr,10,2,0,0.83333,361,247,114
East,Michigan,2000,Lloyd Carr,9,3,0,0.75,404,229,175
East,Michigan,2001,Lloyd Carr,8,4,0,0.66667,320,237,83
East,Michigan,2002,Lloyd Carr,10,3,0,0.76923,361,265,96
East,Michigan,2003,Lloyd Carr,10,3,0,0.76923,460,219,241
East,Michigan,2004,Lloyd Carr,9,3,0,0.75,370,279,91
East,Michigan,2005,Lloyd Carr,7,5,0,0.58333,345,244,101
East,Michigan,2006,Lloyd Carr,11,2,0,0.84615,380,207,173
East,Michigan,2007,Lloyd Carr,9,4,0,0.69231,354,278,76
East,Michigan,2008,Rich Rodriguez,3,9,0,0.25,243,347,-104
East,Michigan,2009,Rich Rodriguez,5,7,0,0.41667,354,330,24
East,Michigan,2010,Rich Rodriguez,7,6,0,0.53846,426,458,-32
East,Michigan,2011,Brady Hoke,11,2,0,0.84615,433,226,207
East,Michigan,2012,Brady Hoke,8,5,0,0.61538,388,258,130
East,Michigan,2013,Brady Hoke,7,6,0,0.53846,419,349,70
East,Michigan,2014,Brady Hoke,5,7,0,0.41667,251,269,-18
East,MSU,1950,"Clarence L. ""Biggie"" Munn",8,1,0,0.88889,243,107,136
East,MSU,1951,"Clarence L. ""Biggie"" Munn",9,0,0,1,270,114,156
East,MSU,1952,"Clarence L. ""Biggie"" Munn",9,0,0,1,312,84,228
East,MSU,1953,"Clarence L. ""Biggie"" Munn",9,1,0,0.9,240,110,130
East,MSU,1954,Hugh Duffy Daugherty,3,6,0,0.33333,177,149,28
East,MSU,1955,Hugh Duffy Daugherty,9,1,0,0.9,253,83,170
East,MSU,1956,Hugh Duffy Daugherty,7,2,0,0.77778,239,87,152
East,MSU,1957,Hugh Duffy Daugherty,8,1,0,0.88889,264,75,189
East,MSU,1958,Hugh Duffy Daugherty,3,5,1,0.38889,117,123,-6
East,MSU,1959,Hugh Duffy Daugherty,5,4,0,0.55556,149,118,31
East,MSU,1960,Hugh Duffy Daugherty,6,2,1,0.72222,193,118,75
East,MSU,1961,Hugh Duffy Daugherty,7,2,0,0.77778,192,50,142
East,MSU,1962,Hugh Duffy Daugherty,5,4,0,0.55556,189,96,93
East,MSU,1963,Hugh Duffy Daugherty,6,2,1,0.72222,148,63,85
East,MSU,1964,Hugh Duffy Daugherty,4,5,0,0.44444,136,141,-5
East,MSU,1965,Hugh Duffy Daugherty,10,1,0,0.90909,263,76,187
East,MSU,1966,Hugh Duffy Daugherty,9,0,1,0.95,293,99,194
East,MSU,1967,Hugh Duffy Daugherty,3,7,0,0.3,173,193,-20
East,MSU,1968,Hugh Duffy Daugherty,5,5,0,0.5,202,151,51
East,MSU,1969,Hugh Duffy Daugherty,4,6,0,0.4,202,231,-29
East,MSU,1970,Hugh Duffy Daugherty,4,6,0,0.4,190,215,-25
East,MSU,1971,Hugh Duffy Daugherty,6,5,0,0.54545,225,169,56
East,MSU,1972,Hugh Duffy Daugherty,5,5,1,0.5,158,156,2
East,MSU,1973,"Dennis E. ""Denny"" Stolz",5,6,0,0.45455,114,164,-50
East,MSU,1974,"Dennis E. ""Denny"" Stolz",7,3,1,0.68182,270,196,74
East,MSU,1975,"Dennis E. ""Denny"" Stolz",7,4,0,0.63636,222,167,55
East,MSU,1976,Darryl D. Rogers,4,6,1,0.40909,236,278,-42
East,MSU,1977,Darryl D. Rogers,7,3,1,0.68182,260,162,98
East,MSU,1978,Darryl D. Rogers,8,3,0,0.72727,411,170,241
East,MSU,1979,Darryl D. Rogers,5,6,0,0.45455,240,253,-13
East,MSU,1980,"Frank ""Muddy"" Waters",3,8,0,0.27273,221,279,-58
East,MSU,1981,"Frank ""Muddy"" Waters",5,6,0,0.45455,263,249,14
East,MSU,1982,"Frank ""Muddy"" Waters",2,9,0,0.18182,202,242,-40
East,MSU,1983,George J. Perles,4,6,1,0.40909,162,233,-71
East,MSU,1984,George J. Perles,6,6,0,0.5,193,203,-10
East,MSU,1985,George J. Perles,7,5,0,0.58333,258,219,39
East,MSU,1986,George J. Perles,6,5,0,0.54545,285,197,88
East,MSU,1987,George J. Perles,9,2,1,0.79167,261,153,108
East,MSU,1988,George J. Perles,6,5,1,0.54167,269,177,92
East,MSU,1989,George J. Perles,8,4,0,0.66667,356,163,193
East,MSU,1990,George J. Perles,8,3,1,0.70833,312,223,89
East,MSU,1991,George J. Perles,3,8,0,0.27273,162,272,-110
East,MSU,1992,George J. Perles,5,6,0,0.45455,238,261,-23
East,MSU,1993,George J. Perles,6,6,0,0.5,277,289,-12
East,MSU,1994,George J. Perles,0,11,0,0,280,267,13
East,MSU,1995,Nick L. Saban,6,5,1,0.54167,287,338,-51
East,MSU,1996,Nick L. Saban,6,6,0,0.5,358,302,56
East,MSU,1997,Nick L. Saban,7,5,0,0.58333,342,237,105
East,MSU,1998,Nick L. Saban,6,6,0,0.5,336,294,42
East,MSU,1999,Nick L. Saban,10,2,0,0.83333,378,245,133
East,MSU,,Bobby Williams,,,,,,,
East,MSU,2000,Bobby Williams,5,6,0,0.45455,197,233,-36
East,MSU,2001,Bobby Williams,7,5,0,0.58333,374,311,63
East,MSU,2002,Bobby Williams,4,8,0,0.33333,316,398,-82
East,MSU,,Morris Watts,,,,,,,
East,MSU,2003,John L. Smith,8,5,0,0.61538,363,293,70
East,MSU,2004,John L. Smith,5,7,0,0.41667,353,326,27
East,MSU,2005,John L. Smith,5,6,0,0.45455,372,316,56
East,MSU,2006,John L. Smith,4,8,0,0.33333,302,341,-39
East,MSU,2007,Mark Dantonio,7,6,0,0.53846,430,346,84
East,MSU,2008,Mark Dantonio,9,4,0,0.69231,326,287,39
East,MSU,2009,Mark Dantonio,6,7,0,0.46154,386,342,44
East,MSU,2010,Mark Dantonio,11,2,0,0.84615,383,290,93
East,MSU,2011,Mark Dantonio,11,3,0,0.78571,434,257,177
East,MSU,2012,Mark Dantonio,7,6,0,0.53846,260,212,48
East,MSU,2013,Mark Dantonio,13,1,0,0.92857,411,185,226
East,MSU,2014,Mark Dantonio,11,2,0,0.84615,559,280,279
East,Ohio State,1950,"Wesley E. ""Wes"" Fesler",6,3,0,0.66667,286,111,175
East,Ohio State,1951,"Wayne ""Woody"" Hayes",4,3,2,0.55556,109,104,5
East,Ohio State,1952,"Wayne ""Woody"" Hayes",6,3,0,0.66667,197,119,78
East,Ohio State,1953,"Wayne ""Woody"" Hayes",6,3,0,0.66667,182,164,18
East,Ohio State,1954,"Wayne ""Woody"" Hayes",10,0,0,1,249,75,174
East,Ohio State,1955,"Wayne ""Woody"" Hayes",7,2,0,0.77778,201,97,104
East,Ohio State,1956,"Wayne ""Woody"" Hayes",6,3,0,0.66667,160,81,79
East,Ohio State,1957,"Wayne ""Woody"" Hayes",9,1,0,0.9,267,92,175
East,Ohio State,1958,"Wayne ""Woody"" Hayes",6,1,2,0.77778,182,132,50
East,Ohio State,1959,"Wayne ""Woody"" Hayes",3,5,1,0.38889,83,114,-31
East,Ohio State,1960,"Wayne ""Woody"" Hayes",7,2,0,0.77778,209,90,119
East,Ohio State,1961,"Wayne ""Woody"" Hayes",8,0,1,0.94444,221,83,138
East,Ohio State,1962,"Wayne ""Woody"" Hayes",6,3,0,0.66667,205,98,107
East,Ohio State,1963,"Wayne ""Woody"" Hayes",5,3,1,0.61111,110,102,8
East,Ohio State,1964,"Wayne ""Woody"" Hayes",7,2,0,0.77778,146,76,70
East,Ohio State,1965,"Wayne ""Woody"" Hayes",7,2,0,0.77778,156,118,38
East,Ohio State,1966,"Wayne ""Woody"" Hayes",4,5,0,0.44444,108,123,-15
East,Ohio State,1967,"Wayne ""Woody"" Hayes",6,3,0,0.66667,145,120,25
East,Ohio State,1968,"Wayne ""Woody"" Hayes",10,0,0,1,323,150,173
East,Ohio State,1969,"Wayne ""Woody"" Hayes",8,1,0,0.88889,383,93,290
East,Ohio State,1970,"Wayne ""Woody"" Hayes",9,1,0,0.9,290,120,170
East,Ohio State,1971,"Wayne ""Woody"" Hayes",6,4,0,0.6,224,120,104
East,Ohio State,1972,"Wayne ""Woody"" Hayes",9,2,0,0.81818,280,171,109
East,Ohio State,1973,"Wayne ""Woody"" Hayes",10,0,1,0.95455,413,64,349
East,Ohio State,1974,"Wayne ""Woody"" Hayes",10,2,0,0.83333,437,129,308
East,Ohio State,1975,"Wayne ""Woody"" Hayes",11,1,0,0.91667,384,102,282
East,Ohio State,1976,"Wayne ""Woody"" Hayes",9,2,1,0.79167,305,149,156
East,Ohio State,1977,"Wayne ""Woody"" Hayes",9,3,0,0.75,343,120,223
East,Ohio State,1978,"Wayne ""Woody"" Hayes",7,4,1,0.625,339,216,123
East,Ohio State,1979,Earle Bruce,11,1,0,0.91667,390,126,264
East,Ohio State,1980,Earle Bruce,9,3,0,0.75,387,181,206
East,Ohio State,1981,Earle Bruce,9,3,0,0.75,387,253,134
East,Ohio State,1982,Earle Bruce,9,3,0,0.75,348,208,140
East,Ohio State,1983,Earle Bruce,9,3,0,0.75,410,206,204
East,Ohio State,1984,Earle Bruce,9,3,0,0.75,391,200,191
East,Ohio State,1985,Earle Bruce,9,3,0,0.75,325,212,113
East,Ohio State,1986,Earle Bruce,10,3,0,0.76923,347,179,168
East,Ohio State,1987,Earle Bruce,6,4,1,0.59091,224,181,43
